post_title,post_name_en,post_content,post_status,post_type,location,operating_org,project_link,geographic_region,recruitment_cycle,target_audience,latitude,longitude,coordinate_source
מעגל סבאיא – מעגל נשים בגליל העליון,,"יצירת פלטפורמה למפגש ושיח אינטימי בין סטודנטיות יהודיות, ערביות ודרוזיות בפריפריה, המדגישה את המשותף על פני השונה. התוכנית כוללת מפגשים שבועיים, סיורים וסמינרים הפועלים במודל תלת-שלבי: הבנת האתגרים, גיבוש מנהיגות משותפת והקניית כלים להובלת שינוי חברתי ומעורבות אזרחית.",publish,project,מכללת תל חי,עמותת דרכים,https://hechalutz.com/programs/sabaya/,צפון,מחזור ד,נשים | יהודים וערבים,33.236432,35.5792,
מעגלי חיכאיאת (סיפורים),Story Circles,"הכשרת נשים יהודיות וערביות בגליל כמספרות סיפורים דו-לשוניות לילדים, במטרה לעצב תודעה רב-תרבותית מגיל צעיר. המיזם כולל כתיבת סיפורים חינוכיים בליווי פדגוגי והקמת ספרייה דיגיטלית לתיעוד הסיפורים המקומיים. דרך כלי ה-Storytelling, המשתתפות בונות עתיד משותף ומשפיעות על הדור הבא באמצעות שפה וזהות.",publish,project,"קליקה"" אזור תעשיה משותף לסכנין-משגב, תרדיון","דיאלוג - אדם, סביבה ומדע",https://hikayat.co.il/,צפון,מחזור ד,נשים | יהודים וערבים,32.867641,35.273358,
נוער מנהיג שינוי בנחל,Youth Leading Change in the Nahal,"תוכנית מפגשים לתלמידים יהודים, צ'רקסים וערבים המבוססת על היכרות עם המרחב הפתוח והנחל הסמוך לביתם. המיזם כולל נבחרת מנהיגות נוער משכבות ח' המשתתפת ב-10 מפגשים חווייתיים, הכוללים חקר טקסטים מהמקורות וסדנת צילום משותפת. הפעילות שואפת לחזק את תחושת השייכות והשותפות במרחב ולייצר דיאלוג משמעותי דרך למידה ועשייה בטבע.",publish,project,אגן נחל תבור - בדגש על עין קאזאן ונחל השבעה,המוזיאון הארכיאולוגי בקיבוץ עין דור,https://eindormuseum.co.il/,צפון,מחזור ד,נוער וילדים,32.656941,35.417116,
נעות,Naot – Ma’ba’ad,"סדרת סדנאות מחול ותנועה דו-לשוניות לנשים ערביות, נוצריות ויהודיות ביפו, המשלבת מפגשים עם אמניות מעוררות השראה. המיזם משתמש בגוף ככלי ליצירת ערוצי דיאלוג חדשים ומרחב מוגן לעיסוק בנושאי זהות, נשיות ושותפות. הפעילות שואפת להעצמה אישית וקהילתית, ומסתיימת במפגש עם קבוצות נשים מיישובים מעורבים נוספים לחיזוק הקשרים.",publish,project,"סטודיו יסמין גודר השוכן במרכז תרבות מנדל, בתל אביב. בנוסף לאירועים מיוחדים כמו סיור ביפו, או נסיעה למפגש עם קבוצות נשים נוספות בישובים מעורבים",להקת יסמין גודר,https://www.yasmeengodder.com/he/%D7%A0%D7%A2%D7%95%D7%AA-%D9%85%D8%B9-%D8%A8%D8%B9%D8%B6/,מרכז,מחזור ד,נשים | יהודים וערבים,32.051055,34.760068,
על המקאם הזה: אמנות התרגום כאפשרות למפגש,On the radar: The art of translation as an opportunity for encounter,"תוכנית שנתית למשוררים יהודים וערבים מאזור הצפון, המקדמת דיאלוג פואטי דרך מלאכת התרגום. המשתתפים לוקחים חלק ב-12 מפגשים של העמקה בסוגיות תרגומיות ועבודה על טקסטים אישיים וקבוצתיים. הפרויקט מגיע לשיאו במופע רב-תחומי ב""חג של החגים"" בבית הגפן ובהפקת ספר יצירות דו-לשוני.",publish,project,"מרכז ""מקום לשירה"" -שוק תלפיות חיפה",מקום לשירה,https://www.poetryplace.org/events/elementor-19109/,כרמל,מחזור ד,יהודים וערבים,32.810757,34.999884,
שיח נשי יהודי מוסלמי,Jewish Muslim Women’s Dialogue,"הקמת קבוצות נשים דתיות בלוד, רמלה ועכו ליצירת מודל של שכנות מכבדת וסובלנית בערים מעורבות. התוכנית כוללת 10 מפגשי לימוד ושיח על סוגיות דתיות משותפות ואתגרים במרחב המשותף, לצד סדנאות וטיולים. בסיום הפרויקט, המשתתפות מובילות יוזמה חברתית או חינוכית בעירן לקידום ערכי כבוד הדדי והיכרות בין הקהילות",publish,project,"לוד, רמלה, מרכז צעירים עכו- מתנ""סים מקומיים",מרכזי הגישור בקהילה- גמעיית אל הודא רמאלה,,מרכז,מחזור ד,נשים | יהודים וערבים,31.943592,34.884855,
דיאלוג בין תרבויות מוזיקליות,Intercultural Musical Dialogue,"תוכנית שנתית המפגישה סטודנטים יהודים וערבים ללימוד יצירות קלאסיות והוראתן בבתי ספר משני המגזרים. המיזם כולל מחנה מוזיקלי עם לינה ופעילויות חברתיות לילדים, המאתגרות אותם לתקשר מעבר למחסום השפה. הפרויקט מגיע לשיאו בקונצרט משותף באקדמיה בירושלים, בו מבצעים הסטודנטים והילדים עיבודים תזמורתיים שנכתבו במיוחד עבור המפגש הרב-תרבותי.",publish,project,"קלנסווה, כפר יונה, חבל אילות",מתנ״ס חבל אילות,,דרום,מחזור ד,נוער וילדים | יהודים וערבים,29.892021,35.063685,
הקמת בית-ספר רב-תרבותי צומח בגליל המערבי: שלב א',Establishing the Western Galilee Intersection multi-cultural school– Stage 1,"ביסוס שותפות קהילתית בין קיבוץ עברון לכפר מזרעה דרך חינוך דו-לשוני ופעילויות פנאי משותפות. המיזם מקדם ערכים של סובלנות וערבות הדדית כמענה למתחים ביטחוניים, ובנה תשתית של אמון המונעת אלימות במרחב האזורי. כעת, העמותה פועלת להקמת כיתה א' דו-לשונית ראשונה (תש""פ), תוך הרחבת המודל לישובים נוספים בגליל המערבי.",publish,project,"קיבוץ עברון - המטה ובתחומי מועצת מטה אשר , מזרעה, עכו , נהריה והסביבה שבגליל המערבי",חיים ביחד - עמותת הגן הדו-לשוני מזרעה עברון,,צפון,מחזור ד,נוער וילדים | יהודים וערבים,32.988543,35.102034,
יצירת מרחב לשיח ושיתוף פעולה בבסמת וקרית טבעון,Creating space for dialogue and collaboration in Basmat Tab’un and Kiryat Tivon,"תוכנית להפגת זרות ובניית אמון בין תושבי קריית טבעון ובסמת טבעון באמצעות שיקום ""שביל הזעתר"" המחבר בין היישובים. המיזם כולל פעילות משותפת של תלמידי חטיבות ביניים לשדרוג המרחב הציבורי, בליווי רכז דיאלוג ייעודי ממרכז הגישור הקהילתי. הפרויקט יתועד בווידאו ויופץ ברשתות החברתיות כדי לקדם תחושת ביטחון ושותפות במרחב החיים המשותף.",publish,project,קרית טבעון ובסמת טבעון,"רשת מתנ""סים קרית טבעון",,כרמל,מחזור ד,נוער וילדים,32.713184,35.125938,
סיורים מספרים,Telling Tours,"מיזם המשתמש במקורות המים בעמק המעיינות כפלטפורמה להפגת מתחים היסטוריים וחיזוק הקשר בין תושבי בית שאן למועצה האזורית. המיזם כולל סדרת סיורים לוותיקי האזור סביב אתרי מים שונים, המלווים במעגלי הידברות ותיעוד סיפורים אישיים. הידע שנאסף יונגש באתר אינטרנט ייעודי למטיילים ולקהל הרחב, במטרה להפוך את המתיחות רבת-השנים לשיח של שותפות והיכרות.",publish,project,עמק המעיינות ובעיר בית שאן,מרכז קהילתי בית שאן,,צפון,מחזור ד,קהל מגוון,32.496284,35.49701,
Blend.Arabicבלנדר - המודל הארצי - מדברים באמת,Blend.Ar,"הפעילות וקהילת הבוגרים גדלה (כ-1,000 משתתפים בשנה). הפעילות התרחבה לאזורים גיאוגרפים נוספים ברמה הארצית מחוץ לאבו גוש וכן נוספו מוטבים חדשים - צעירים ערביים שמקבלים התמחות, תכנית מנטורינג והזדמנויות נטוורקינג משמעותיות",publish,project,"אבו גוש, ירושלים, יפו, נווה שלום",בלנדר,www.blenarabic.com,ירושלים,מחזור ד,יהודים וערבים,31.806903,35.112253,
הינשוף קידום אומנות רב תרבותית בלוד ככלי לטוב משותף,The Owl – a local art and culture magazine,המיזם עד כה פעל וממשיך בעיר לוד והשלים 3 מחזורי פעילות ויצאו 3 מגזינים במסגרת פרוייקט הינשוף. המטרה להרחיב את פעולת המיזם ל-2 ערים נוספות ולהרחיב את מודל הפעולה לסדנת אמנים בתחום הכתיבה/ האמנות הפלסטית/ הצילום במטרה ליצור מפגש משמעותי ומפרה בין האמנים מהמגזרים השונים וכן לבנות כלים לפיתוח האמנים והאמנות בפריפריה ככלי לביטוי והבעה של התרבויות המרכיבות את המרקם החברתי בכל עיר,publish,project,"מיזם רשת קהילות בני מקום פועל ב- 12 יישובים ברחבי הארץ, אנו מעוניינים להרחיב את העשייה וליישם את המודל שנבנה בלוד בשלוש ערים בהם פועלת הרשת. לוד, נתניה ואופקים.","חברי קהילת ""תא דואר לוד""                         מיזם רשת קהילות בני מקום, מרכז הצעירים בלוד",https://www.2link.co.il/flipbook/lod-rtl,מרכז,מחזור ד,צעירים וסטודנטים,31.964169,34.873295,
ירושלמית מדוברת,Spoken Jerusalem,"הרחבת הפעילות לקהלים נוספים מחוץ לי-ם. פיתוח קורס עברית וערבית ייחודיים עבור קהלים מגוונים במגזר העסקי והציבורי; תכניות לימוד לשילוב א.נשים מהחברה הערבית באקדמיה ובתעסוקה; וסדנאות לקהלים שונים מרחבי הארץ ומחו""ל המספרות את סיפור הקהילה ומקדמות ערכים של שותפות, סולידריות ועשייה אזרחית.",publish,project,ירושלים -מוסללה מרכז העיר,כולנא ירושלים,https://www.facebook.com/YerushalmitMeduberet,ירושלים,מחזור ד,נשים | דתיים וחילונים,31.7683,35.2137,Jerusalem
מזרעה - חוות בארי מרכז קהילתי תחת כיפת שמיים,Mizra’a,"במהלך שנת הפעילות ה-2, פותח קונספט של 'מזרעה' במטרה לשים דגש על המפגש היהודי-ערבי. הפיילוט נחל הצלחה. בעקבות המצב החברתי הכללי והקיטוב והאיבה המתגברים בין הקהילות, התכנית הקרובה  התרחבה והיא מתוכננת ליצור תהליך משמעותי ועמוק יותר שבסופו המשתתפים יזמו יוזמות משותפות ברחבי הנגב וכך להעניק להם ידע בתחומים סביבתיים מגוונים והשראה ליכולת ההשפעה של יוזמות קהילתיות. כמו כן, גובש פורום של פעילים וארגונים מהנגב שעוסקים בדו-קיום, במטרה ליצור רשת של קשרים וחשיבה משותפת שבעזרתם ניתן לתמוך ביוזמות המשתתפים בתכנית.",publish,project,"כל רחבי הנגב ולכלול סיורים במגוון יזמויות סביבתיות בחברה הבדואית והיהודית. המפגש הראשון והאחרון יתקיימו בחוות בארי, בסיס הפעילות של שבועת האדמה בעיר העתיקה בבאר שבע, ומרכז לקהילת הקיימות של הנגב. במהלך התכנית מתוכננים מגוון סיורים בכפרים לא מוכרים, בבאר שבע, ירוחם ושגב שלום.",שבועת האדמה,https://www.2link.co.il/flipbook/lod-rtl,דרום,מחזור ד,צעירים וסטודנטים | יהודים וערבים | אנשי מקצוע ופעילים,31.125551,34.69402,
"מעגלים  מגוונים בקהילה יצירת שיח משתף בין קהילות דר' ת""א",Migvanim: a multicultural dialogue in the neighborhoods of south Tel Aviv,"מתוך יוזמה של משתתף בתכנית, בעקבות האירועים וההקצנה בשיח בחברה, הוקם פורום 'אחים אנחנו' שמשתתפים בו מובילי קהילה. נוצרו מפגשי דיאלוג ומפגש בין תושבים המגיעים מתפיסות עולם שונות, ומתוך בחירה לעסוק בחיבור, בהיכרות ובהדברות. והוקם מערך סיורים בשכונה מהזווית הרב תרבותית שמייצגת את המקום",publish,project,שכונת שפירא - במרכז הקהילתי,עמותת הפרדס,www.facebook.com/hapardestlv,מרכז,מחזור ד,צעירים וסטודנטים | דתיים וחילונים,32.048957,34.780242,
שוות ביחד,Shavot Beyachad - Equal together,"קידום שויון הזדמנויות וצמצום פערי מגדר, דרך חיזוק נערות ומתן כלים למימוש הפונטנציאל",publish,project,"רמלה,יפו ועכו",שוות,https://www.shavot.org/copy-of-%D7%A9%D7%95%D7%95%D7%AA-%D7%91%D7%9E%D7%93%D7%A2-%D7%95%D7%91%D7%98%D7%9B%D7%A0%D7%95%D7%9C%D7%95%D7%92%D7%99%D7%94,מרכז,מחזור ד,נוער וילדים | יהודים וערבים,31.9316,34.8729,Ramla
אדבר איתך - שתי שפות. אהבה אחת בהובלת תזמורת המהפכה ובשיתוף משרד החינוך,I Shall Speak to You - Two Languages. One Love.,"המיזם ""אדבר איתך"" מקרב בין בני נוער יהודים וערבים דרך לימוד שפה, שירה וחברה משותפת, בשיתוף משרד החינוך. בשיא התוכנית מתקיים מופע של תזמורת המהפכה ונגני נוער, המבצעים שירים בעברית ובערבית ככלי לעידוד סולידריות ורב-תרבותיות.",publish,project,"הפעילות כוללת שלושה חלקים: הראשון והאחרון הכוללים מערכי שיעור ופעילות בכיתה יתקיימו בביה""ס בהנחיית המורים, והשני - המופע, יתקיים בשעות ביה""ס באולם הופעות קרוב למיקום ביה""ס, כיציאה מאורגנת כיתתית לחוויית תרבות.",תזמורת המהפכה,https://www.rev-orch.com/%D7%90%D7%93%D7%91%D7%A8-%D7%90%D7%99%D7%AA%D7%9A-%D8%A3%D8%AA%D8%AD%D8%AF%D8%AB-%D8%A5%D9%84%D9%8A%D9%83/  https://www.rev-orch.com/i-shall-speak-to-you/,מרכז,מחזור ה,נוער וילדים | יהודים וערבים,32.121769,34.845025,
דג עוטף - 100 דגים מיסודה של הדג נחש,Hadag embraces,"סדרת כיתות אמן ייחודיות המשלבות מוזיקה, יצירה וטיפול רגשי ביישובי עוטף עזהמסגרת חדשנית לעיבוד חוויות המלחמה דרך כוחה המרפא של המוזיקה. שילוב מקצועי של מוזיקה וטיפול  הנחייה על ידי אמן מוביל מלהקת הדג נחש יחד עם מטפל רגשי. תהליך מובנה של 13 מפגשים",publish,project,"יישובי עוטף עזה - שדרות, מועצה אזורית שער הנגב ומועצה אזורית אשכול",100 דגים,https://www.100dagim.org/,דרום,מחזור ה,נוער וילדים,31.334167,34.399742,
הוילג' - בית הנשים,The Village,"הוילג' הוא מועדון אימפקט לנשים המשלב מעורבות חברתית שכונתית, קהילה רב תרבותית ומרחב עבודה וצמיחה משותף לעצמאיות ובעלות עסקים קטנים. הוילג' משמש פלטפורמה לחיבורים מקומיים, נטוורקינג ומעודד מנהיגות נשית מקומית.",publish,project,חיפה,גיוינג,https://thevillagehaifa.com/,כרמל,מחזור ה,נשים | יהודים וערבים,32.807158,35.004156,
העצמה ובניית חוסן אישי בקרב צעירי החברה הערבית בלוד,Empowerment and building personal resilience among the youth of the Arab community in Lod to strengthen the fabric of coexistence.,"פעילות בת 7 חודשים במהלכם נבנה מחדש את החוסן הנפשי של הצעירי, העצמת הדימוי העצמי שלהם והכנת הצעירים לניהול דיאלוג משותף בקהילה מעורבת יהודים ערבים ואתיופיים",publish,project,לוד,אזרחים בונים קהילה,https://www.facebook.com/Mowatinon?mibextid=ZbWKwL,מרכז,מחזור ה,צעירים וסטודנטים,31.937114,34.903293,
התכנית לסטודנטים מצטיינים במערכת החינוך לצמיחה חברתית וחיבור בין הקבוצות השונות בחברה הישראלית,Yessodot Center - Students for Public Service in the Ministry of Education,"תכנית בוטיק להכשרה, ליווי ושימור סטודנטים וסטודנטיות מצטיינים במשרד החינוך להשתלבות בתפקידים משמעותיים במערכת החינוך והעלאת מוטיבציה להמשך עשייה בשירות המדינה ובשירות הציבורי",publish,project,ירושלים,מרכז מעשה,https://www.facebook.com/search/top?q=%D7%9E%D7%A8%D7%9B%D7%96%20%D7%99%D7%A1%D7%95%D7%93%D7%95%D7%AA%20%D8%A3%D9%8F%D8%B3%D8%B3,מרכז,מחזור ה,צעירים וסטודנטים,31.957785,34.928428,
להתחיל ב800,Start 800,"המיזם הופך את מסגרות החינוך הבלתי פורמלי להזדמנות לחינוך לערכי סובלנות וסולידריות באמצעות הכשרת צוותים ותוכנית פדגוגית ייעודית. בשיתוף פעולה עם הרשויות המקומיות, אנו מקנים לילדים בגילאי 4 עד 9 כלים לחיים משותפים וקבלת האחר בצהרונים ובקייטנות.",publish,project,"בשנת הלימודים תשפ""ד הפעלנו שתי תוכניות פיילוט: הפיילוט הראשון בראש העין כלל צהרונים של 10 גנים מתוכם שניים ממלכתי דתי ושמונה ממלכתי. הפיילוט השני בחריש כלל צהרונים של שתי כיתות גן ו- 5 כיתות בית ספר (א' וב'). בשנת תשפ""ה השאיפה היא להרחיב את מספר הצהרונים בראש העין וחרי ולהיכנס בפיילוטים לעוד 2 רשויות נוספות.","הזנק 800 בע""מ",https://www.start800.org.il/,כרמל,מחזור ה,נוער וילדים,32.457808,35.048944,
"לשתף בכאב, ליצור תקווה","Sharing Pain, Creating Hope","המיזם בא לחבר בין הכאב האישי, המשפחתי, הקהילתי והחברתי שנוצר בשבעה באוקטובר לבין התקווה של יצירת מציאות אחרת – מבוססת כבוד האדם, שיתוף פעולה, וצמיחה מהאבל.",publish,project,אירוע ההשקה יתקיים בירושלים. המיזם עצמו יתקיים בכל רחבי הארץ עם דגש על הנגב המערבי,אתגר. עמותה להתמרת סכסוכים,https://www.facebook.com/share/JbdTTPRQ6WxQxWSY/?mibextid=xfxF2i,דרום,מחזור ה,יהודים וערבים,31.373067,34.666807,
מובילות חיבור,Movilot Connections,"ארגון ""מובילות חיבור"" מקדם מנהיגות תעסוקתית נשית חרדית כגשר בין מגזרי להפחתת הקיטוב בחברה הישראלית. באמצעות תהליכי מנטורינג וחיבורים בארגונים עסקיים, המיזם רותם נשים ליצירת השפעה וסולידריות חברתית.",publish,project,ארצי,"English: The ""Movilot Chibur"" (Movilot Connection) initiative empowers Haredi women leaders to bridge social gaps and reduce polarization in Israel. By leveraging the influence of women in the business sector, the project fosters sustainable connections and social solidarity.",www.movilot.org.il,מרכז,מחזור ה,נשים | דתיים וחילונים,32.094695,34.853029,
"מרחב רב תרבותי בבי""ס תווים לילדי לוד על הרצף האוטיסטי",אין מידע,,publish,project,,,,מרכז,מחזור ה,מוגבליות,31.938518,34.883473,
נשות ירושלים,The Women of Jerusalem,"""נשות ירושלים"" היא תוכנית מנהיגות ומדיה המפתחת הבנה הדדית בין נשים חרדיות, חילוניות וממזרח העיר. המיזם בונה רשת של מנהיגות נשית המשתמשת בכלי תקשורת ודיאלוג כדי לקדם זהות משותפת והובלת שינוי חברתי.",publish,project,מזרח ומערב ירושלים,0202 נקודת מבט מירושלים,https://drive.google.com/file/d/1ojStM7BpIii8QLctyG5MIKA16FmcDOri/view?usp=drive_link      https://www.facebook.com/0202updates   https://0202updates.org/,ירושלים,מחזור ה,נשים | יהודים וערבים,31.774375,35.234442,
ערבות,Arvut,"תוכנית ערבות היא תוכנית מנהיגות לסטודנטים שמגיעים מרקעים ומערכות חינוך שונות. התוכנית מקנה ביסוס רעיוני, כלים ותיאוריה יהודית על צדק חברתי וזהות יהודית-חברתית",publish,project,מקומות שונים בירושלים ובמרכז למורשת יהדות סלוניקי בבר אילן.,מעגלי צדק,https://www.facebook.com/MaagaleiTzedek?mibextid=LQQJ4d,ירושלים,מחזור ה,צעירים וסטודנטים,31.780359,35.206738,
קבוצות לימוד בין דתיות,Interfaith study groups,"הפרוייקט פונה לסוכני שינוי בעלי יכולת השפעה במעגלים רחבים בחברה הישראלית. קהל יעד זה כולל: רבנים, מחנכים, אימאמים, שייח'ים וראשי כנסיה וקהילות בישראל.",publish,project,"המיזם יפעל בפריסה ארצית על בסיס שלוש קבוצות עבודה מרכזיות, מתוכן שתיים תפעלנה באופן אזורי (כגון בצפון ובדרום) ואחת תפעל באופן כלל-ארצי ותתפקד גם כועדת ההיגוי של המיזם.מקומות המפגש הפיזיים יבחרו בהמשך בהתאם להעדפות המשתתפים והמשתתפות",המרכז הבין דתי אור התורה,https://www.facebook.com/profile.php?id=61557545967137&locale=he_IL,ירושלים,מחזור ה,דתיים וחילונים,31.750144,35.201941,
שותפות בתנועה,Partnership in Movement,"מיזם משותף לארגון אג'יק ותנועת הצופים, במסגרתו רכזים משני הארגונים עוברים קורס הנחיית דיאלוג במהלך השנה ומובילים מפגשים משמעותיים בין קבוצות יהודיות וערביות ברחבי הארץ, של חניכי תנועות הנוער ושנות מעבר יחד עם מתנדבי שנת שירות. במסגרת המפגשים הקבוצות יוצרות מיזמים משותפים לטובת האזור בו הם חיים.",publish,project,פרויקט ארצי,אג'יק מכון הנגב ותנועת הצופים,https://ajeec-nisped.org.il/?page_id=22053&lang=en,דרום,מחזור ה,נוער וילדים | אנשי מקצוע ופעילים,31.256361,34.814525,
שכנות טובה,Good Neighborship Project,"מפגש חודשי לאורך שנת הלימודים של בני ובנות נוער בדואים-יהודים החיים בהר הנגב. סדרת המפגשים מבוססת על ערכים משותפים ומטרתה להקטין זרות, לסלק דעות קדומות וגילויי גזענות, וליצור קשרים חברתיים חוצי מגזרים בין המשתתפים ובין הקהילות שלהם.",publish,project,"אזור הר הנגב (בין מדרשת בן גוריון למצפה רמון). הפעילות מתקיימות בישובי הר הנגב, יהודים ובדואים, על מנת להכיר את החיים, התרבות והמנהגים המאפיינים את הקהילות בישובים השונים.","קשת- קהילה , תרבות , סביבה",https://keshet.org.il/projects/good-neighborliness/   https://keshet.org.il/en/projects/good-neighbor-ship-project/,דרום,מחזור ה,נוער וילדים | יהודים וערבים,30.736434,34.806579,
תוואסול - מתחברים,"Tawasel (Arabic for connected) - An inspiring, hopeful Bedouin experience.","מיזם ""תוואסל"" של עמותת Desert Stars מחבר בין מנהיגות צעירה בחברה הבדואית לחברה הישראלית הרחבה לקידום דיאלוג ושותפות בנגב. באמצעות היכרות מעמיקה עם אתגרי האזור, התוכנית מחזקת את האמונה בשותפות יהודית-ערבית כבסיס לשינוי חברתי בר-קיימא.",publish,project,"מקומות רבים ברחבי הנגב, או הרצאות במקום משלכם.",כוכבי המדבר,https://www.desertstars.org.il/homepage-english,דרום,מחזור ה,יהודים וערבים | נוער וילדים,31.104235,34.879645,
ביחד למען משאב אזורי - שותפות להצלת ים המלח,Together for a Regional Treasure - Partnership to Save the Dead Sea,"הפרויקט מתמקד ביצירת קהילת מאבק רב-תרבותית להצלת ים המלח, תוך שילוב צעירים יהודים וערבים בשיתוף פעולה סביבתי וקידום דיאלוג בין-תרבותי",publish,project,ים המלח,מגמה ירוקה,https://www.green.org.il/,דרום,מחזור ה,צעירים וסטודנטים | יהודים וערבים,30.984931,35.35489,
"בניא (bunya) – לומדים לתקשר, להכיר ולהתחבר – הכשרת פעילים חברתיים",Binaya - Social activists learn to communicate,"הכשרת פעילים חברתיים בארץ לקידום הקשבה, שפה ועבודה משותפת בשגרה ובמצבי קיצון",publish,project,ירושלים,מדרסה - לומדים לתקשר,www.madrasafree.com,ירושלים,מחזור ה,יהודים וערבים | אנשי מקצוע ופעילים,31.764503,35.222947,
ג’ודו עם שכנים,Judo with neighbors,"הפרויקט מחבר בין ילדים ונוער ממועצות שכנות יהודיות וערביות דרך ענף הג'ודו, במטרה לבנות תשתית ספורטיבית משותפת בנגישות שווה. באמצעות אימונים ומפגשים, המיזם רותם את ערכי הספורט לאיחוד בין הקהילות, לחיזוק הקשרים ולקידום כבוד הדדי.",publish,project,"אימוני הג'ודו מתקיימים במועדון הג'ודו שבקיבוץ עין דור. אימוני החשיפה ואימונים מיוחדים מתקיימים במתנ""ס בכפר מצר. הפעילות החברתית הנוספת מתקיימת במוזיאון עין דור.","מ.א עמק יזרעאל, מוזיאון עין דור ומתנ""ס בוסתן אל מרג' שהוא ארגון הגג של המיזם.",,צפון,מחזור ה,נוער וילדים |יהודים וערבים,32.659913,35.425806,
"חברתי - ארץ, עיר, שכונה ובית","Our community - country, city, neighborhood and home",תערוכה פעילה של אמנים ישראלים במסגרתה מוצגות יצירות העוסקות בתמה חברתית ובערכים של הקשבה וסובלנות תוך כבוד ושמירה על ייחודיות של כל קהילה. לצד היצירות המוצגות בתערוכה משולבות פעילויות חינוכיות למבקרים במטרה לגשר על פערים חברתיים ולקדם שיח סובלנות והדהוד חשיבותה של האחדות,publish,project,"בגלריה במרכז אמנויות ע""ש אפטר-ברר, מעלות תרשיחא עם אפשרות הנדדת התערוכה למקומות נוספים ברחבי הארץ","מרכז אמנויות וגלריה ע""ש אפטר-ברר, מעלות-תרשיחא", www.artsmaalot.com,צפון,מחזור ה,נוער וילדים | יהודים וערבים,33.013626,35.285812,
מקהלת ראנה- מקהלת הנשים הערבית-יהודית ביפו,Rana Choir,"מקהלת ""ראנה"" מיפו מפגישה נשים מוסלמיות, נוצריות ויהודיות ליצירת גשר תרבותי דרך שירה ודיאלוג נשי משותף. באמצעות רפרטואר רב-לשוני ומופעים, המקהלה מציגה מודל לחיים משותפים ומבטאת תקווה לשלום ולשותפות גורל אנושית.",publish,project,יפו,מרכז פליציה בלומנטל למוזיקה,https://ranachoir.com/en/home-page-english/ ,מרכז,מחזור ה,נשים | יהודים וערבים,32.073121,4.77124,
פיתוח תוכן יעודי להכשרות מורים בתחום שיקום היחסים בין קבוצות בחברה הישראלית,Promoting education to reduce prejudice and racism,"פיתוח יחידת תוכן וכתיבת חוברת למורה בעברית ובערבית בהושא דעות קדומות וגזענות, שיוטמעו בכל הכשרות מצמיחים המשותפות למורים יהודים וערבים המתקיימות מדי שנה",publish,project,"מוסדות אקדמיים להכשרת מורים, מרכזי פסג""ה ומה""דים בכל רחבי הארץ.",מצמיחים-המרכז להפחתת אלימות בבתי ספר,https://matzmichim.org.il,מרכז,מחזור ה,יהודים וערבים | אנשי מקצוע ופעילים,32.078932,34.885549,
שותפות ערבית-יהודית חוף הכרמל - ארוע אופני שטח בפרדיס,The Arab-Jewish Carmel villages partnership,"פעילות קהילתית באזור חוף הכרמל, שהוקמה בעקבות אירועי מאי 2021, במטרה ליצור קהילה אקטיביסטית ערבית-יהודית משותפת. המיזם מקיים מגוון אירועי תרבות, ספורט וסיוע לנזקקים, הפועלים לחיזוק השותפות ושיפור המצב המשותף באזור",publish,project,"בכל מרחב הפעילות. המרכז לאירועים שלנו הוא מתחם המעיין באזור התעשייה מעיין צבי, אך אירועים מתרחשים בפרדיס, ג'יסר א זרקא ועוד.",עמותת מבט,https://www.facebook.com/shirakarmel/?paipv=0&eav=AfbE6zcBnTCCKVjFPo08bBCu39a-GiF-Ozxdb9_mRv7A44uWa3yBZo8cLi7BReqf5mM&_rdr,כרמל,מחזור ה,יהודים וערבים | קהל מגוון,32.606547,34.94035,
המשך - אקלים של אחדות,Climate of Unity,"קהילות צעירים המורכבות מחילוניים ודתיים, אשר לומדות, עוסקות ופועלות בתחום הקיימות. הקהילה מקיימת אירועי תרבות הפתוחים לקהל הרחב, ערבי לימוד, סדנאות, קבלות שבת, ארוחות שישי וסמינרים. בנוסף, חלק מחברי הקהילה לוקחים על עצמם משימה חינוכית ועוסקים בקידום מנהיגות סביבתית במסגרות קדם צבאיות ברחבי הארץ.",publish,project,,,,ירושלים,מחזור ה,צעירים וסטודנטים | דתיים וחילונים,31.779247,35.214493,
הליכות דאלוגיות במרחב השכונתי / עירוני BEDO,Paving the Way,"פיתוח היכולת להוביל צוותים וקבוצות במציאות מקוטבת, דרך היכרות עם עקרונות וכלים מגישת ה-U, הנגשת הכלים באופן מותאם ליישום מיידי, ופיתוח תובנות של המשתתפים ביחס לעצמם ולמרחב שבו הם פועלים.",publish,project,,,,מרכז,מחזור ה,אנשי מקצוע ופעילים,,,
חממה לחיים משותפים בארגוני הנוער,The Shared Society Incubator in Youth Organizations,"התוכנית מקדמת לכידות חברתית וחיים משותפים בארגוני נוער דרך למידה עיונית ויישום פרויקטים שנתיים בשטח. באמצעות הקמת ""מיני חממה"" ופיתוח פדגוגיה ייעודית, המיזם מטמיע ערכי שותפות בקרב בעלי תפקידים להרחבת ההשפעה בארגון.",publish,project,,,,מרכז,מחזור ה,נוער וילדים,,,
